"Crowdsourced data on dried cannabis expenditure, prices and use.",,,,,,,,,,,,,,,,
"The application was launched January 25, 2018. Data are being collected continuously and will be made available as new information comes in.",,,,,,,,,,,,,,,,
"All submissions are reported below, however, the associated Daily is based on the information without any outlier (Outlier = 0).",,,,,,,,,,,,,,,,
Statistics Canada applies a set of criteria on the price variable to determine whether a submission is an outlier (Outlier =1).,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Submission Date,Expenditure,Quantity,Price,Outlier,Purpose,Usage,Source,Sex at Birth,First time,Legal status,Consumption,Census subdivision,Census division,Economic region,Province,Census metropolitan area
30/01/2018,155,28,5.54,0,Medicate - with a medical document,Daily,,,,,28,Brandon,Division No.  7,Southwest / Sud-ouest,Manitoba,46 - NonCMA
30/01/2018,50,7,7.14,0,Medicate - without a medical document,Daily,,,,,7,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,170,28,6.07,0,Medicate - without a medical document,Daily,,,,,1,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,180,28,6.43,0,Use recreationally,Daily,,,,,14,Kamloops,Thompson-Nicola,Thompson--Okanagan,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,8,1,8,0,Medicate - with a medical document,Daily,,,,,0.5,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,240,28,8.57,0,Medicate - with a medical document,,,,,,,Hamilton,Hamilton,Hamilton--Niagara Peninsula,Ontario,Hamilton
30/01/2018,80,7,11.43,0,Use recreationally,A few times per month,,,,,0.5,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
30/01/2018,5.35,1,5.35,0,Medicate - with a medical document,Daily,,,,,50,New Glasgow,Pictou,North Shore / Côte-nord,Nova Scotia / Nouvelle-Écosse,12 - NonCMA
30/01/2018,50,7,7.14,0,Use recreationally,Daily,,,,,7,Greater Vancouver A,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,35,3.5,10,0,Medicate - without a medical document,Daily,,,,,3.5,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,100,28,3.57,0,Medicate - without a medical document,Daily,,,,,28,Fredericton,York,Fredericton--Oromocto,New Brunswick / Nouveau-Brunswick,13 - NonCMA
30/01/2018,6.8,1,6.8,0,Medicate - with a medical document,Daily,,,,,,Smiths Falls,Lanark,Ottawa,Ontario,35 - NonCMA
30/01/2018,50,7,7.14,0,Use recreationally,Daily,,,,,7,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,120,28,4.29,0,Medicate - without a medical document,Daily,,,,,14,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
30/01/2018,95,14,6.79,0,Use recreationally,A few times per week,,,,,7,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,50,7,7.14,0,Medicate - with a medical document,,,,,,,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
30/01/2018,30,3.5,8.57,0,Use recreationally,A few times per week,,,,,3.5,Victoria,Capital,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,Victoria
30/01/2018,7,1,7,0,Medicate - without a medical document,Daily,,,,,14,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,200,28,7.14,0,Medicate - without a medical document,Daily,,,,,168,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,160,28,5.71,0,Medicate - with a medical document,Daily,,,,,28,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
30/01/2018,140,28,5,0,Use recreationally,Daily,,,,,28,Fredericton,York,Fredericton--Oromocto,New Brunswick / Nouveau-Brunswick,13 - NonCMA
30/01/2018,200,28,7.14,0,Use recreationally,A few times per week,,,,,3.5,St. John's,Division No.  1,Avalon Peninsula,Newfoundland and Labrador / Terre-Neuve-et-Labrador,St. John's
30/01/2018,30,3.5,8.57,0,Use recreationally,A few times per week,,,,,0.5,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,220,28,7.86,0,Use recreationally,A few times per month,,,,,3.5,Halton Hills,Halton,Toronto,Ontario,Toronto
30/01/2018,60,7,8.57,0,Use recreationally,A few times per week,,,,,1,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,80,28,2.86,0,Use recreationally,Daily,,,,,28,Salmo,Central Kootenay,Kootenay,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,1000000,1,1000000,1,Medicate - without a medical document,Daily,,,,,28,Tofino,Alberni-Clayoquot,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,200,28,7.14,0,Use recreationally,,,,,,,Goderich,Huron,Stratford--Bruce Peninsula,Ontario,35 - NonCMA
30/01/2018,100,14,7.14,0,Medicate - without a medical document,A few times per week,,,,,3.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,10,1,10,0,Use recreationally,,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,45,7,6.43,0,Medicate - without a medical document,Daily,,,,,56,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
30/01/2018,150,28,5.36,0,Use recreationally,A few times per week,,,,,3.5,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
30/01/2018,200,28,7.14,0,Medicate - without a medical document,,,,,,,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
30/01/2018,10,1,10,0,Use recreationally,A few times per week,,,,,1,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,20,3.5,5.71,0,Medicate - without a medical document,Daily,,,,,1,Kamloops,Thompson-Nicola,Thompson--Okanagan,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,30,3.5,8.57,0,Medicate - without a medical document,A few times per week,,,,,0.5,Yorkton,Division No.  9,Yorkton--Melville,Saskatchewan,47 - NonCMA
30/01/2018,5,1,5,0,Use recreationally,Daily,,,,,28,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,50,7,7.14,0,Use recreationally,Daily,,,,,7,Brandon,Division No.  7,Southwest / Sud-ouest,Manitoba,46 - NonCMA
30/01/2018,180,28,6.43,0,Use recreationally,Daily,,,,,14,Kitchener,Waterloo,Kitchener--Waterloo--Barrie,Ontario,Kitchener - Cambridge - Waterloo
30/01/2018,180,28,6.43,0,Medicate - without a medical document,Daily,,,,,28,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,220,28,7.86,0,Use recreationally,Daily,,,,,1,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,100,28,3.57,0,Use recreationally,,,,,,,Charlottetown,Queens,Prince Edward Island / Île-du-Prince-Édouard,Prince Edward Island / Île-du-Prince-Édouard,11 - NonCMA
30/01/2018,60,7,8.57,0,Use recreationally,A few times per week,,,,,3.5,Oakville,Halton,Toronto,Ontario,Toronto
30/01/2018,200,28,7.14,0,Use recreationally,Daily,,,,,42,St. John's,Division No.  1,Avalon Peninsula,Newfoundland and Labrador / Terre-Neuve-et-Labrador,St. John's
30/01/2018,185,28,6.61,0,Use recreationally,Daily,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,60,7,8.57,0,Use recreationally,Daily,,,,,7,Lethbridge,Division No.  2,Lethbridge--Medicine Hat,Alberta,Lethbridge
30/01/2018,80,28,2.86,0,Medicate - without a medical document,A few times per week,,,,,0.5,Lac-Saguay,Antoine-Labelle,Laurentides,Quebec / Québec,24 - NonCMA
30/01/2018,30,3.5,8.57,0,Use recreationally,A few times a year,,,,,0.5,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,5,1,5,0,Medicate - without a medical document,A few times per week,,,,,14,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,8,1,8,0,Medicate - without a medical document,Daily,,,,,7,Kelowna,Central Okanagan,Thompson--Okanagan,British Columbia / Colombie-Britannique,Kelowna
30/01/2018,100,14,7.14,0,Use recreationally,Daily,,,,,28,Waterloo,Waterloo,Kitchener--Waterloo--Barrie,Ontario,Kitchener - Cambridge - Waterloo
30/01/2018,10,1,10,0,Use recreationally,A few times per week,,,,,3.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
30/01/2018,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Red Deer,Division No.  8,Red Deer,Alberta,48 - NonCMA
30/01/2018,1000,120,8.33,0,Medicate - with a medical document,Daily,,,,,120,Orangeville,Dufferin,Kitchener--Waterloo--Barrie,Ontario,Toronto
30/01/2018,60,7,8.57,0,Use recreationally,,,,,,,Hamilton,Hamilton,Hamilton--Niagara Peninsula,Ontario,Hamilton
30/01/2018,210,14,15,1,Use recreationally,Daily,,,,,28,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,1,28,0.04,1,Medicate - without a medical document,Daily,,,,,28,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,118.75,28,4.24,0,Medicate - without a medical document,Daily,,,,,14,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,20,1,20,1,Use recreationally,A few times a year,,,,,0.5,South River,Parry Sound,Northeast / Nord-est,Ontario,35 - NonCMA
30/01/2018,5,1,5,0,Use recreationally,,,,,,,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,180,28,6.43,0,Use recreationally,,,,,,,Halifax,Halifax,Halifax,Nova Scotia / Nouvelle-Écosse,Halifax
30/01/2018,4,1,4,0,Medicate - without a medical document,Daily,,,,,28,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,200,28,7.14,0,Use recreationally,A few times per week,,,,,3.5,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,200,28,7.14,0,Use recreationally,Daily,,,,,1,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,100,14,7.14,0,Medicate - without a medical document,Daily,,,,,28,London,Middlesex,London,Ontario,London
30/01/2018,165,28,5.89,0,Use recreationally,Daily,,,,,1,Pembroke,Renfrew,Kingston--Pembroke,Ontario,35 - NonCMA
30/01/2018,75,28,2.68,1,Medicate - without a medical document,Daily,,,,,14,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,120,28,4.29,0,Medicate - without a medical document,Daily,,,,,40,Greater Vancouver A,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,10,1,10,0,Use recreationally,A few times per month,,,,,1,Peterborough,Peterborough,Muskoka--Kawarthas,Ontario,Peterborough
30/01/2018,110,28,3.93,0,Medicate - with a medical document,Daily,,,,,60,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,150,28,5.36,0,Medicate - without a medical document,Daily,,,,,1,Chilliwack,Fraser Valley,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,40,7,5.71,0,Medicate - without a medical document,,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,70,14,5,1,Medicate - without a medical document,,,,,,,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,60,7,8.57,0,Use recreationally,Daily,,,,,28,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,190,28,6.79,0,Medicate - without a medical document,Daily,,,,,28,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,70,14,5,1,Use recreationally,A few times per month,,,,,1,Mississauga,Peel,Toronto,Ontario,Toronto
30/01/2018,40,7,5.71,0,Use recreationally,Daily,,,,,7,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,180,28,6.43,0,Medicate - without a medical document,Daily,,,,,28,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,40,3.5,11.43,0,Use recreationally,Daily,,,,,28,Corner Brook,Division No.  5,West Coast--Northern Peninsula--Labrador / Côte-ouest--Northern Peninsula--Labrador,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10 - NonCMA
30/01/2018,50,7,7.14,0,Use recreationally,A few times per week,,,,,7,Nanaimo Town 1,Nanaimo,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,110,14,7.86,0,Use recreationally,Daily,,,,,28,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,40,4,10,0,Use recreationally,Daily,,,,,2,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,6,1,6,0,Medicate - with a medical document,A few times per week,,,,,14,Smiths Falls,Lanark,Ottawa,Ontario,35 - NonCMA
30/01/2018,120,14,8.57,0,Use recreationally,,,,,,,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,10,1,10,0,Use recreationally,,,,,,,Hamilton,Hamilton,Hamilton--Niagara Peninsula,Ontario,Hamilton
30/01/2018,30,3.5,8.57,0,Use recreationally,A few times per week,,,,,3.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,10,1,10,0,Use recreationally,A few times per month,,,,,1,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,200,28,7.14,0,Use recreationally,Daily,,,,,0.5,Kitchener,Waterloo,Kitchener--Waterloo--Barrie,Ontario,Kitchener - Cambridge - Waterloo
30/01/2018,6,1,6,0,Use recreationally,A few times a year,,,,,0.5,Halifax,Halifax,Halifax,Nova Scotia / Nouvelle-Écosse,Halifax
30/01/2018,50,7,7.14,0,Medicate - with a medical document,,,,,,,Charlottetown,Queens,Prince Edward Island / Île-du-Prince-Édouard,Prince Edward Island / Île-du-Prince-Édouard,11 - NonCMA
30/01/2018,100,14,7.14,0,Use recreationally,A few times per week,,,,,3.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,90,14,6.43,0,Medicate - without a medical document,,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,110,3.5,31.43,1,Medicate - with a medical document,,,,,,,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,60,7,8.57,0,Use recreationally,Daily,,,,,14,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,70,7,10,0,Use recreationally,Daily,,,,,3.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,60,7,8.57,0,Use recreationally,Daily,,,,,28,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,20,7,2.86,1,Medicate - without a medical document,Daily,,,,,28,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,20,3.5,5.71,0,Medicate - without a medical document,Daily,,,,,50,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,7,1,7,0,Medicate - without a medical document,A few times per month,,,,,1,Alderville First Nation,Northumberland,Muskoka--Kawarthas,Ontario,35 - NonCMA
30/01/2018,175,28,6.25,0,Medicate - without a medical document,A few times per week,,,,,1,Grande Prairie County No. 1,Division No. 19,Athabasca--Grande Prairie--Peace River,Alberta,48 - NonCMA
30/01/2018,27,3.5,7.71,0,Medicate - with a medical document,A few times per month,,,,,2,Greater Vancouver A,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,10,1,10,0,Use recreationally,A few times per week,,,,,7,Timmins,Cochrane,Northeast / Nord-est,Ontario,35 - NonCMA
30/01/2018,6,1,6,0,Medicate - with a medical document,Daily,,,,,0.5,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
30/01/2018,60,7,8.57,0,Medicate - without a medical document,Daily,,,,,28,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,98,14,7,0,Medicate - without a medical document,A few times per month,,,,,7,Victoria,Capital,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,Victoria
30/01/2018,110,14,7.86,0,Use recreationally,A few times per month,,,,,7,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,110,14,7.86,0,Use recreationally,Daily,,,,,14,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,240,28,8.57,0,Use recreationally,,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,50,7,7.14,0,Medicate - without a medical document,A few times per week,,,,,7,Dawson Creek,Peace River,Northeast / Nord-est,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,60,7,8.57,0,Use recreationally,A few times per month,,,,,3.5,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,100,14,7.14,0,Medicate - without a medical document,Daily,,,,,56,Charlottetown,Queens,Prince Edward Island / Île-du-Prince-Édouard,Prince Edward Island / Île-du-Prince-Édouard,11 - NonCMA
30/01/2018,10,1,10,0,Use recreationally,,,,,,,Mississauga,Peel,Toronto,Ontario,Toronto
30/01/2018,110,14,7.86,0,Use recreationally,Daily,,,,,50,St. John's,Division No.  1,Avalon Peninsula,Newfoundland and Labrador / Terre-Neuve-et-Labrador,St. John's
30/01/2018,200,28,7.14,0,Use recreationally,A few times per week,,,,,14,Moncton,Westmorland,Moncton--Richibucto,New Brunswick / Nouveau-Brunswick,Moncton
30/01/2018,100,14,7.14,0,Use recreationally,A few times per week,,,,,14,St. John's,Division No.  1,Avalon Peninsula,Newfoundland and Labrador / Terre-Neuve-et-Labrador,St. John's
30/01/2018,500,28,17.86,1,Medicate - without a medical document,Daily,,,,,14,Burlington,Halton,Hamilton--Niagara Peninsula,Ontario,Hamilton
30/01/2018,180,28,6.43,0,Use recreationally,,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,10,1,10,0,Use recreationally,Daily,,,,,3.5,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,50,7,7.14,0,Use recreationally,A few times per month,,,,,3.5,Guelph,Wellington,Kitchener--Waterloo--Barrie,Ontario,Guelph
30/01/2018,20,1,20,1,Medicate - without a medical document,,,,,,,Miramichi,Northumberland,Campbellton--Miramichi,New Brunswick / Nouveau-Brunswick,13 - NonCMA
30/01/2018,9,1,9,0,Medicate - with a medical document,Daily,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,10,1,10,1,Use recreationally,,,,,,,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Northeast / Nord-est,Ontario,Greater Sudbury / Grand Sudbury
30/01/2018,25,3.5,7.14,0,Use recreationally,A few times a year,,,,,0.5,Moncton,Westmorland,Moncton--Richibucto,New Brunswick / Nouveau-Brunswick,Moncton
30/01/2018,180,28,6.43,0,Medicate - with a medical document,Daily,,,,,28,Regina,Division No.  6,Regina--Moose Mountain,Saskatchewan,Regina
30/01/2018,10,1,10,0,Medicate - with a medical document,Daily,,,,,7,Halifax,Halifax,Halifax,Nova Scotia / Nouvelle-Écosse,Halifax
30/01/2018,80,28,2.86,0,Use recreationally,Daily,,,,,14,Hamilton,Hamilton,Hamilton--Niagara Peninsula,Ontario,Hamilton
30/01/2018,8,1,8,0,Use recreationally,A few times a year,,,,,0.5,Cape Breton,Cape Breton,Cape Breton,Nova Scotia / Nouvelle-Écosse,12 - NonCMA
30/01/2018,60,7,8.57,0,Use recreationally,,,,,,,Waterloo,Waterloo,Kitchener--Waterloo--Barrie,Ontario,Kitchener - Cambridge - Waterloo
30/01/2018,200,28,7.14,0,Use recreationally,A few times per week,,,,,14,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,6,1,6,0,Medicate - with a medical document,Daily,,,,,,Smiths Falls,Lanark,Ottawa,Ontario,35 - NonCMA
30/01/2018,175,28,6.25,0,Use recreationally,A few times per week,,,,,0.5,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,200,28,7.14,0,Use recreationally,Daily,,,,,1,Whitecourt,Division No. 13,Athabasca--Grande Prairie--Peace River,Alberta,48 - NonCMA
30/01/2018,5,1,5,0,Medicate - with a medical document,Daily,,,,,,Hamilton,Hamilton,Hamilton--Niagara Peninsula,Ontario,Hamilton
30/01/2018,120,14,8.57,0,Use recreationally,Daily,,,,,28,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,180,20,9,0,Medicate - with a medical document,Daily,,,,,3.5,Whitecourt,Division No. 13,Athabasca--Grande Prairie--Peace River,Alberta,48 - NonCMA
30/01/2018,200,28,7.14,0,Use recreationally,Daily,,,,,28,St. John's,Division No.  1,Avalon Peninsula,Newfoundland and Labrador / Terre-Neuve-et-Labrador,St. John's
30/01/2018,40,7,5.71,0,Use recreationally,A few times per week,,,,,3.5,Sackville,Westmorland,Moncton--Richibucto,New Brunswick / Nouveau-Brunswick,13 - NonCMA
30/01/2018,20,1,20,1,Medicate - without a medical document,,,,,,,Fogo Island,Division No.  8,Notre Dame--Central Bonavista Bay,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10 - NonCMA
30/01/2018,160,28,5.71,0,Medicate - without a medical document,Daily,,,,,,Guelph,Wellington,Kitchener--Waterloo--Barrie,Ontario,Guelph
30/01/2018,120,14,8.57,0,Use recreationally,A few times per week,,,,,7,Guelph,Wellington,Kitchener--Waterloo--Barrie,Ontario,Guelph
30/01/2018,6,1,6,0,Medicate - with a medical document,Daily,,,,,1,Waterloo,Waterloo,Kitchener--Waterloo--Barrie,Ontario,Kitchener - Cambridge - Waterloo
30/01/2018,9,1,9,0,Use recreationally,,,,,,,Saskatoon,Division No. 11,Saskatoon--Biggar,Saskatchewan,Saskatoon
30/01/2018,30,3.5,8.57,0,Medicate - without a medical document,Daily,,,,,14,Nanaimo A,Nanaimo,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,150,28,5.36,0,Use recreationally,Daily,,,,,14,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,3500,907,3.86,0,Use recreationally,A few times a year,,,,,0.5,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,10,1,10,0,Use recreationally,A few times per week,,,,,3.5,Ajax,Durham,Toronto,Ontario,Toronto
30/01/2018,70,14,5,0,Medicate - without a medical document,A few times per week,,,,,14,Portage la Prairie,Division No.  9,North Central / Centre nord,Manitoba,46 - NonCMA
30/01/2018,200,28,7.14,0,Use recreationally,,,,,,,Cowichan,Cowichan Valley,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,40,7,5.71,0,Use recreationally,A few times per week,,,,,14,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,30,7,4.29,1,Use recreationally,Daily,,,,,28,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,7,1,7,0,Use recreationally,Daily,,,,,14,Hamilton,Hamilton,Hamilton--Niagara Peninsula,Ontario,Hamilton
30/01/2018,160,28,5.71,0,Use recreationally,,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,40,7,5.71,0,Use recreationally,A few times per week,,,,,3.5,Moncton,Westmorland,Moncton--Richibucto,New Brunswick / Nouveau-Brunswick,Moncton
30/01/2018,38,3.5,10.86,0,Use recreationally,A few times per month,,,,,2,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,23,3.5,6.57,0,Use recreationally,,,,,,,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,240,28,8.57,0,Medicate - without a medical document,Daily,,,,,28,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
30/01/2018,6.5,1,6.5,0,Use recreationally,,,,,,,Calgary,Division No.  6,Calgary,Alberta,Calgary
30/01/2018,90,14,6.43,0,Use recreationally,Daily,,,,,0.5,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,100,28,3.57,0,Use recreationally,Daily,,,,,28,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,10,1,10,0,Use recreationally,A few times per month,,,,,3.5,Muskoka Lakes,Muskoka,Muskoka--Kawarthas,Ontario,35 - NonCMA
30/01/2018,100,28,3.57,0,Use recreationally,Daily,,,,,28,Winnipeg,Division No. 11,Winnipeg,Manitoba,Winnipeg
30/01/2018,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Vaughan,York,Toronto,Ontario,Toronto
30/01/2018,160,28,5.71,0,Medicate - without a medical document,Daily,,,,,56,Kamloops,Thompson-Nicola,Thompson--Okanagan,British Columbia / Colombie-Britannique,59 - NonCMA
30/01/2018,70,7,10,0,Medicate - without a medical document,Daily,,,,,3.5,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,15,1,15,1,Use recreationally,A few times per month,,,,,28,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,100,28,3.57,0,Use recreationally,Daily,,,,,28,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,50,7,7.14,0,Medicate - without a medical document,,,,,,,Halifax,Halifax,Halifax,Nova Scotia / Nouvelle-Écosse,Halifax
30/01/2018,10,1,10,0,Use recreationally,A few times per week,,,,,3.5,Mississauga,Peel,Toronto,Ontario,Toronto
30/01/2018,60,7,8.57,0,Use recreationally,A few times per month,,,,,1,Toronto,Toronto,Toronto,Ontario,Toronto
30/01/2018,60,7,8.57,0,Medicate - with a medical document,A few times per week,,,,,0.5,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
30/01/2018,400,113,3.54,0,Medicate - without a medical document,Daily,,,,,28,Hamilton,Hamilton,Hamilton--Niagara Peninsula,Ontario,Hamilton
30/01/2018,30,3.5,8.57,0,Use recreationally,A few times a year,,,,,0.2,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
30/01/2018,6,1,6,0,Use recreationally,A few times per week,,,,,3.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
30/01/2018,5,1,5,0,Use recreationally,Daily,,,,,56,Victoria,Capital,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,Victoria
30/01/2018,10,1,10,0,Use recreationally,Daily,,,,,28,Oakville,Halton,Toronto,Ontario,Toronto
30/01/2018,100,14,7.14,0,Use recreationally,Daily,,,,,1,Halifax,Halifax,Halifax,Nova Scotia / Nouvelle-Écosse,Halifax
